Date,Open,High,Low,Close,Adj Close,Volume
2020-10-13,59.400002,59.950001,58.950001,59.119999,58.233086,5700200
2020-10-14,58.939999,59.340000,58.439999,58.509998,57.632236,6193700
2020-10-15,58.080002,59.330002,57.910000,59.320000,58.430088,8205000
2020-10-16,59.369999,59.860001,58.900002,59.590000,58.696037,6816100
2020-10-19,60.060001,60.439999,58.709999,58.779999,57.898190,6983900
2020-10-20,59.040001,59.869999,58.459999,59.430000,58.538437,7590600
2020-10-21,58.619999,59.619999,58.610001,59.230000,58.836445,5385300
2020-10-22,59.139999,59.529999,58.619999,59.480000,59.084782,5722500
2020-10-23,59.779999,60.599998,59.689999,60.250000,59.849667,6810100
2020-10-26,59.910000,59.980000,58.669998,59.560001,59.164253,7551500
2020-10-27,59.119999,59.259998,58.110001,58.150002,57.763622,5415000
2020-10-28,57.360001,57.939999,56.439999,56.570000,56.194118,10660200
2020-10-29,56.459999,56.669998,55.360001,55.930000,55.558372,9757900
2020-10-30,55.930000,56.310001,55.400002,56.090000,55.717308,8663100
2020-11-02,56.869999,58.230000,56.189999,58.080002,57.694088,9437900
2020-11-03,58.459999,60.080002,58.400002,59.450001,59.054981,7153900
2020-11-04,61.250000,61.959999,60.230000,60.369999,59.968868,11190800
2020-11-05,61.360001,62.610001,61.029999,61.410000,61.001957,10069400
2020-11-06,63.049999,67.330002,63.020000,64.949997,64.518433,24526900
2020-11-09,69.000000,69.629997,65.779999,67.529999,67.081291,15696400
2020-11-10,68.449997,70.650002,68.000000,70.230003,69.763359,15038800
2020-11-11,70.099998,71.010002,69.449997,69.510002,69.048141,9628000
2020-11-12,69.000000,69.900002,68.440002,69.389999,68.928932,6066400
2020-11-13,69.709999,71.180000,69.080002,71.000000,70.528236,6722000
2020-11-16,73.589996,74.059998,72.470001,73.470001,72.981827,13265600
2020-11-17,68.250000,68.720001,66.650002,67.139999,66.693886,34429700
2020-11-18,67.500000,68.269997,66.290001,66.349998,65.909134,11674600
2020-11-19,66.019997,66.489998,65.180000,66.059998,65.621056,11656400
2020-11-20,65.900002,66.870003,65.820000,66.389999,65.948868,8822500
2020-11-23,66.870003,67.480003,66.400002,66.779999,66.336273,5889100
2020-11-24,67.260002,68.830002,66.730003,68.430000,67.975311,8312200
2020-11-25,68.330002,68.400002,67.080002,67.629997,67.180626,6789100
2020-11-27,67.709999,68.160004,67.480003,67.870003,67.419037,2803700
2020-11-30,67.809998,68.089996,67.199997,67.790001,67.339569,8242600
2020-12-01,68.389999,69.330002,67.360001,67.540001,67.091225,8239700
2020-12-02,67.550003,70.290001,67.449997,69.629997,69.167336,8138500
2020-12-03,69.709999,72.629997,69.230003,72.519997,72.038132,13270200
2020-12-04,72.720001,74.519997,72.570000,74.500000,74.004982,11964700
2020-12-07,74.230003,74.639999,72.430000,73.629997,73.140762,6868000
2020-12-08,72.730003,73.940002,72.620003,73.860001,73.369232,6044200
2020-12-09,74.379997,74.440002,72.860001,73.529999,73.041428,6825900
2020-12-10,72.769997,73.160004,72.080002,72.209999,71.730194,6003100
2020-12-11,72.000000,72.110001,70.650002,71.580002,71.104385,6515800
2020-12-14,72.309998,72.330002,69.680000,69.720001,69.256744,7157600
2020-12-15,70.080002,70.190002,68.800003,69.889999,69.425613,7812800
2020-12-16,69.150002,69.629997,68.349998,69.320000,68.859398,7380700
2020-12-17,69.449997,69.889999,68.690002,69.589996,69.127602,7497600
2020-12-18,69.739998,69.790001,68.820000,69.550003,69.087875,12530500
2020-12-21,68.699997,68.959999,67.959999,68.709999,68.253448,6988400
2020-12-22,68.430000,68.550003,67.059998,67.220001,66.773354,5685000
2020-12-23,67.529999,68.480003,67.489998,68.010002,67.558105,4924100
2020-12-24,68.169998,68.169998,67.489998,67.970001,67.518372,2117600
2020-12-28,68.239998,68.989998,67.720001,68.080002,67.627640,4818200
2020-12-29,68.400002,69.309998,67.720001,67.900002,67.448837,4389800
2020-12-30,68.080002,68.089996,67.430000,67.750000,67.299835,4967300
2020-12-31,67.699997,68.410004,67.080002,68.300003,67.846184,5386900
2021-01-04,68.680000,70.290001,68.129997,69.989998,69.524948,11367200
2021-01-05,70.330002,71.019997,69.379997,70.459999,69.991821,8012200
2021-01-06,70.000000,73.029999,69.949997,72.559998,72.077866,10142400
2021-01-07,73.050003,74.419998,72.279999,73.989998,73.498367,7962300
2021-01-08,75.000000,76.330002,74.419998,74.860001,74.362587,11254700
2021-01-11,74.250000,76.480003,74.250000,76.070000,75.564552,6678600
2021-01-12,76.040001,77.230003,75.540001,76.260002,75.753288,5641300
2021-01-13,75.949997,76.120003,74.519997,74.919998,74.422188,6223800
2021-01-14,75.000000,75.680000,74.339996,75.050003,74.551331,5088100
2021-01-15,75.019997,76.449997,74.849998,76.260002,75.753288,8110300
2021-01-19,77.000000,77.000000,75.309998,75.400002,74.899002,5919000
2021-01-20,75.419998,75.459999,74.589996,75.250000,74.750000,4764400
2021-01-21,74.699997,74.860001,73.540001,74.080002,74.080002,5033200
2021-01-22,73.730003,74.300003,73.019997,74.120003,74.120003,4183600
2021-01-25,73.500000,73.529999,72.160004,73.209999,73.209999,7554800
2021-01-26,73.370003,74.379997,73.279999,74.230003,74.230003,4667600
2021-01-27,73.529999,74.190002,72.190002,72.419998,72.419998,6279800
2021-01-28,72.440002,73.790001,72.220001,72.610001,72.610001,5020000
2021-01-29,72.519997,73.300003,71.040001,71.650002,71.650002,6466200
2021-02-01,72.080002,72.470001,71.339996,71.459999,71.459999,5207100
2021-02-02,71.699997,72.650002,71.199997,71.830002,71.830002,5543900
2021-02-03,71.739998,73.669998,71.339996,73.239998,73.239998,6128200
2021-02-04,73.400002,74.040001,72.790001,73.000000,73.000000,8117500
2021-02-05,73.230003,73.360001,71.930000,72.180000,72.180000,6420200
2021-02-08,72.470001,72.989998,72.169998,72.980003,72.980003,5826900
2021-02-09,73.239998,74.139999,72.849998,73.489998,73.489998,8100200
2021-02-10,73.949997,74.160004,72.809998,73.830002,73.830002,4752800
2021-02-11,74.000000,74.080002,72.919998,73.599998,73.599998,4723900
2021-02-12,73.570000,74.559998,73.540001,74.209999,74.209999,5822500
2021-02-16,75.269997,75.389999,70.190002,70.529999,70.529999,18932600
2021-02-17,70.250000,72.849998,70.120003,72.709999,72.709999,13280300
2021-02-18,72.650002,72.970001,71.320000,71.519997,71.519997,7328800
2021-02-19,71.400002,71.419998,70.290001,70.419998,70.419998,6530800
2021-02-22,70.300003,70.639999,69.370003,70.480003,70.480003,6054900
2021-02-23,69.720001,70.800003,69.459999,69.639999,69.639999,8150600
2021-02-24,69.889999,70.540001,69.389999,70.400002,70.400002,5826100
2021-02-25,69.980003,70.650002,69.160004,69.330002,69.330002,5243400
2021-02-26,69.269997,69.330002,68.019997,68.129997,68.129997,10222700
2021-03-01,68.419998,69.570000,68.260002,69.279999,69.279999,5656500
2021-03-02,69.489998,69.639999,68.870003,68.940002,68.940002,5249000
2021-03-03,68.970001,69.510002,68.279999,69.029999,69.029999,6190600
2021-03-04,68.959999,70.040001,68.419998,69.169998,69.169998,7372400
2021-03-05,69.400002,70.949997,69.160004,70.629997,70.629997,8294900
2021-03-08,71.290001,72.540001,70.779999,71.730003,71.730003,9003600
2021-03-09,72.349998,73.050003,71.180000,71.230003,71.230003,8691600
2021-03-10,71.709999,73.089996,71.129997,72.699997,72.699997,7398200
2021-03-11,72.949997,73.430000,72.430496,72.648903,72.648903,3513522
